(35, 1, 1, 9, 9);ל;ש;ו;ל;ש;ת;נ;ש;ב;(35, 1, 1, 1, 1)
(35, 1, 1, 18, 18);י;ו;ה;י;ת;ו;כ;ל;מ;(35, 1, 1, 10, 10)
(35, 1, 1, 27, 27);ו;ה;י;ך;ל;מ;ם;י;ק;(35, 1, 1, 19, 19)
(35, 1, 1, 36, 36);ד;כ;ו;ב;נ;א;ב;ה;ד;(35, 1, 1, 28, 28)
(35, 1, 1, 45, 45);ב;ב;ך;ל;מ;ר;צ;א;נ;(35, 1, 1, 37, 37)
(35, 1, 1, 54, 54);י;ו;ם;ל;ש;ו;ר;י;ל;(35, 1, 1, 46, 46)
(35, 1, 2, 3, 63);ת;י;ו;ה;י;ל;ע;ר;צ;(35, 1, 1, 55, 55)
(35, 1, 2, 12, 72);ו;ד;י;ב;י;נ;ד;א;ן;(35, 1, 2, 4, 64)
(35, 1, 2, 21, 81);ם;י;ק;י;ו;ה;י;ת;א;(35, 1, 2, 13, 73)
(35, 1, 2, 30, 90);ו;ה;ד;ו;ה;י;ך;ל;מ;(35, 1, 2, 22, 82)
(35, 1, 2, 39, 99);י;ב;י;ל;כ;ת;צ;ק;מ;(35, 1, 2, 31, 91)
(35, 1, 2, 48, 108);י;ו;ם;י;ה;ל;א;ה;ת;(35, 1, 2, 40, 100)
(35, 1, 2, 57, 117);נ;ש;ץ;ר;א;ם;א;י;ב;(35, 1, 2, 49, 109)
(35, 1, 2, 66, 126);י;ה;ל;א;ת;י;ב;ר;ע;(35, 1, 2, 58, 118)
(35, 1, 2, 75, 135);ם;י;ל;כ;ה;ת;א;ו;ו;(35, 1, 2, 67, 127)
(35, 1, 2, 84, 144);ו;א;ת;י;ב;א;י;ב;ה;(35, 1, 2, 76, 136)
(35, 1, 3, 2, 153);י;ו;ו;י;ה;ל;א;ר;צ;(35, 1, 2, 85, 145)
(35, 1, 3, 11, 162);א;ל;ך;ל;מ;ה;ר;מ;א;(35, 1, 3, 3, 154)
(35, 1, 3, 20, 171);י;ר;ס;ב;ר;ז;נ;פ;ש;(35, 1, 3, 12, 163)
(35, 1, 3, 29, 180);מ;א;י;ב;ה;ל;ו;י;ס;(35, 1, 3, 21, 172)
(35, 1, 3, 38, 189);ו;ל;א;ר;ש;י;י;נ;ב;(35, 1, 3, 30, 181)
(35, 1, 3, 47, 198);כ;ו;ל;מ;ה;ע;ר;ז;מ;(35, 1, 3, 39, 190)
(35, 1, 3, 56, 207);מ;ת;ר;פ;ה;ן;מ;ו;ה;(35, 1, 3, 48, 199)
(35, 1, 4, 7, 216);ש;א;ם;י;ד;ל;י;ם;י;(35, 1, 3, 57, 208)
(35, 1, 4, 16, 225);ל;כ;ם;ה;ב;ן;י;א;ר;(35, 1, 4, 8, 217)
(35, 1, 4, 25, 234);י;ב;ו;ט;ו;ם;ו;א;מ;(35, 1, 4, 17, 226)
(35, 1, 4, 34, 243);י;כ;ש;מ;ו;ה;א;ר;מ;(35, 1, 4, 26, 235)
(35, 1, 4, 43, 252);מ;כ;ח;ל;כ;ב;ם;י;ל;(35, 1, 4, 35, 244)
(35, 1, 4, 52, 261);ת;ע;ד;י;ע;ד;י;ו;ה;(35, 1, 4, 44, 253)
(35, 1, 4, 61, 270);ע;ד;מ;י;נ;י;ב;מ;ו;(35, 1, 4, 53, 262)
(35, 1, 4, 70, 279);ם;ה;ב;ח;כ;ר;ש;א;ו;(35, 1, 4, 62, 271)
(35, 1, 4, 79, 288);ל;כ;י;ה;ב;ד;מ;ע;ל;(35, 1, 4, 71, 280)
(35, 1, 4, 88, 297);ד;מ;ל;ל;ו;ך;ל;מ;ה;(35, 1, 4, 80, 289)
(35, 1, 4, 97, 306);ן;ו;ש;ל;ו;ר;פ;ס;ם;(35, 1, 4, 89, 298)
(35, 1, 5, 4, 315);ן;מ;י;ו;ם;י;ד;ש;כ;(35, 1, 4, 98, 307)
